Date,EBAY,YAHOO
3/28/2012,37.239999,15.32
3/29/2012,36.989999,15.3
3/30/2012,36.899999,15.22
4/2/2012,36.589999,15.46
4/3/2012,36.63,15.18
4/4/2012,35.729999,15.27
4/5/2012,35.62,15.07
4/9/2012,36.299999,15.1
4/10/2012,35.47,14.99
4/11/2012,35.759998,14.88
4/12/2012,36.459998,15.06
4/13/2012,36.12,14.87
4/16/2012,35.499998,14.79
4/17/2012,36.079999,15.01
4/18/2012,35.87,15.49
4/19/2012,40.619997,15.4
4/20/2012,40.29,15.6
4/23/2012,39.649997,15.33
4/24/2012,39.299997,15.43
4/25/2012,39.859999,15.5
4/26/2012,41.049998,15.53
4/27/2012,41.229999,15.57
4/30/2012,41.019997,15.54
5/1/2012,40.749998,15.63
5/2/2012,41.16,15.67
5/3/2012,40.379998,15.4
5/4/2012,39.44,15.15
5/7/2012,40.070001,15.35
5/8/2012,40.19,15.36
5/9/2012,40.559999,15.3
5/10/2012,41.21,15.44
5/11/2012,40.74,15.19
5/14/2012,40.249997,15.5
5/15/2012,40.049997,15.4
5/16/2012,39.859999,15.28
5/17/2012,39.029998,14.87
5/18/2012,38.359999,15.42
5/21/2012,39.509999,15.58
5/22/2012,39.220001,15.29
5/23/2012,39.679998,15.38
5/24/2012,39.659999,15.35
5/25/2012,40.349997,15.36
5/29/2012,41.490001,15.47
5/30/2012,39.59,15.25
5/31/2012,39.19,15.24
6/1/2012,38.820001,14.92
6/4/2012,39.159999,15.01
6/5/2012,39.759999,15.1
6/6/2012,40.94,15.36
6/7/2012,40.899998,15.36
6/8/2012,41.049998,15.65
6/11/2012,40.929999,15.3
6/12/2012,40.909999,15.47
6/13/2012,40.169997,15.34
6/14/2012,40.129998,15.36
6/15/2012,40.669997,15.36
6/18/2012,42.490001,15.49
6/19/2012,43.499998,15.65
6/20/2012,42.949998,15.74
6/21/2012,41.829999,15.52
6/22/2012,42.799998,15.61
6/25/2012,41.81,15.44
6/26/2012,42.499998,15.35
6/27/2012,42.290001,15.52
6/28/2012,40.779999,15.45
6/29/2012,42.01,15.83
7/2/2012,41.219997,15.84
7/3/2012,41.199998,15.98
7/5/2012,40.929999,15.85
7/6/2012,40.409999,15.78
7/9/2012,40.679998,15.75
7/10/2012,39.679998,15.82
7/11/2012,39.129998,15.8
7/12/2012,39.309999,15.69
7/13/2012,39.949997,15.74
7/16/2012,38.599997,15.65
7/17/2012,39.070001,15.6
7/18/2012,40.459999,15.7
7/19/2012,43.949998,15.73
7/20/2012,44.849999,15.92
7/23/2012,44.239997,15.76
7/24/2012,43.519997,15.43
7/25/2012,43.189996,15.5
7/26/2012,43.789997,15.8
7/27/2012,45.219998,16.110001
7/30/2012,45.599999,15.98
7/31/2012,44.299999,15.84
8/1/2012,43.889997,15.99
8/2/2012,43.769998,15.75
8/3/2012,44.499999,15.97
8/6/2012,44.769998,16.040001
8/7/2012,45.610001,16.219999
8/8/2012,44.939997,16.17
8/9/2012,44.269998,16.01
8/10/2012,43.989997,15.15
8/13/2012,45.319998,15.02
8/14/2012,45.360001,14.73
8/15/2012,44.98,14.76
8/16/2012,45.789997,14.99
8/17/2012,46.869998,15.03
8/20/2012,46.399999,14.96
8/21/2012,45.849999,14.97
8/22/2012,46.999999,14.92
8/23/2012,46.809997,14.87
8/24/2012,47.099999,14.92
8/27/2012,46.98,14.85
8/28/2012,46.939997,14.72
8/29/2012,47.489998,14.84
8/30/2012,46.549999,14.67
8/31/2012,47.469999,14.65
9/4/2012,47.359997,14.89
9/5/2012,47.159997,15.09
9/6/2012,48.909997,15.11
9/7/2012,49.239998,15.22
9/10/2012,48.530001,15.11
9/11/2012,48.330001,15.16
9/12/2012,47.989998,15.4
9/13/2012,48.880001,15.6
9/14/2012,49.969999,15.77
9/17/2012,50.479997,15.68
9/18/2012,49.959997,15.91
9/19/2012,50.389998,15.86
9/20/2012,50.079997,15.79
9/21/2012,49.469999,15.74
9/24/2012,49.309997,16
9/25/2012,48.030001,15.68
9/26/2012,47.539998,15.61
9/27/2012,49.119999,16.040001
9/28/2012,48.369999,15.98
10/1/2012,48.230001,15.83
10/2/2012,48.4,15.94
10/3/2012,48.589998,16.209999
10/4/2012,49.489998,16.27
10/5/2012,48.730001,16.09
10/8/2012,47.919999,16.030001
10/9/2012,46.219998,15.85
10/10/2012,46.759997,15.83
10/11/2012,47.489998,15.92
10/12/2012,47.85,15.88
10/15/2012,47.399999,15.68
10/16/2012,48.239998,15.92
10/17/2012,48.2,16.09
10/18/2012,50.829997,16
10/19/2012,49.969999,15.84
10/22/2012,50.15,15.77
10/23/2012,49.35,16.67
10/24/2012,48.880001,16.549999
10/25/2012,48.339998,16.610001
10/26/2012,49.509997,16.790001
10/31/2012,48.259997,16.84
11/1/2012,49.219999,16.950001
11/2/2012,48.689998,17.110001
11/5/2012,49.35,17.370001
11/6/2012,49.489998,17.459999
11/7/2012,48.4,17.389999
11/8/2012,47.869999,17.24
11/9/2012,47.73,17.26
11/12/2012,47.469999,17.51
11/13/2012,47.739998,17.85
11/14/2012,46.469998,17.83
11/15/2012,46.519998,17.889999
11/16/2012,47.259997,17.860001
11/19/2012,47.919999,18.360001
11/20/2012,48.259997,18.24
11/21/2012,48.630001,18.4
11/23/2012,49.009997,18.57
11/26/2012,51.400001,18.76
11/27/2012,51.15,18.93
11/28/2012,51.47,18.91
11/29/2012,52.199996,18.870001
11/30/2012,52.82,18.77
12/3/2012,52.039999,18.549999
12/4/2012,51.989999,18.93
12/5/2012,52.02,18.889999
12/6/2012,51.989999,19.200001
12/7/2012,51.739999,19.200001
12/10/2012,51.17,19.43
12/11/2012,51.989999,19.52
12/12/2012,51.859998,19.379999
12/13/2012,51.02,19.35
12/14/2012,50.359998,19.639999
12/17/2012,51.309998,19.690001
12/18/2012,51.909998,19.620001
12/19/2012,51.339999,19.6
12/20/2012,52.139999,19.690001
12/21/2012,51.350001,19.35
12/24/2012,51.079997,19.65
12/26/2012,50.239998,19.57
12/27/2012,50.289998,19.6
12/28/2012,49.809997,19.5
12/31/2012,51,19.9
1/2/2013,53.589999,20.08
1/3/2013,52.449996,19.780001
1/4/2013,52.779997,19.860001
1/7/2013,53.509998,19.4
1/8/2013,52.679997,19.66
1/9/2013,52.759998,19.32
1/10/2013,52.999996,18.99
1/11/2013,53.699997,19.290001
1/14/2013,53.179997,19.43
1/15/2013,52.509998,19.52
1/16/2013,52.899996,20.07
1/17/2013,54.17,20.129999
1/18/2013,54.209999,20.02
1/22/2013,53.37,19.9
1/23/2013,53.379997,20.110001
1/24/2013,55.19,20.440001
1/25/2013,56.529998,20.370001
1/28/2013,55.949997,20.309999
1/29/2013,55.659999,19.700001
1/30/2013,55.779998,20.120001
1/31/2013,55.969996,19.629999
2/1/2013,57.209999,19.76
2/4/2013,55.69,19.34
2/5/2013,56.419996,19.66
2/6/2013,56.109999,19.85
2/7/2013,56.129998,20.32
2/8/2013,56.619997,20.5
2/11/2013,56.409999,20.9
2/12/2013,56.779998,21.209999
2/13/2013,57.049998,21.15
2/14/2013,56.829998,21.18
2/15/2013,56.699997,21.02
2/19/2013,56.679998,21.290001
2/20/2013,55.529998,20.92
2/21/2013,54.620001,20.83
2/22/2013,55.019996,21.219999
2/25/2013,53.609998,20.73
2/26/2013,53.82,20.76
2/27/2013,54.149997,21.16
2/28/2013,54.709999,21.309999
3/1/2013,54.899997,21.940001
3/4/2013,55.479998,22.700001
3/5/2013,55.259999,22.950001
3/6/2013,53.57,22.799999
3/7/2013,52.979997,22.700001
3/8/2013,53.129997,22.9
3/11/2013,52.759998,22.6
3/12/2013,52.959998,22.4
3/13/2013,50.979997,22.34
3/14/2013,51.800001,22.43
3/15/2013,50.409998,22.07
3/18/2013,50.109997,22.01
3/19/2013,51.1,22.17
3/20/2013,52.42,22.1
3/21/2013,52.92,22.860001
3/22/2013,53.27,23.26
3/25/2013,51.309998,23.379999
3/26/2013,52.089999,23.59
3/27/2013,52.07,23.59
3/28/2013,54.22,23.530001
4/1/2013,55.709999,23.5
4/2/2013,56.159999,23.780001
4/3/2013,55.499997,23.379999
4/4/2013,55.79,23.52
4/5/2013,55.519996,23.299999
4/8/2013,55.869996,23.48
4/9/2013,56.069996,23.83
4/10/2013,57.299998,24.200001
4/11/2013,57.779999,24.49
4/12/2013,57.309999,24.690001
4/15/2013,55.84,23.98
4/16/2013,57.009999,23.790001
4/17/2013,56.099997,23.700001
4/18/2013,52.82,23.26
4/19/2013,52.389999,23.469999
4/22/2013,51.629997,23.950001
4/23/2013,52.489999,24.379999
4/24/2013,52.97,24.75
4/25/2013,52.359998,25.200001
4/26/2013,52.539999,24.68
4/29/2013,52.839999,24.43
4/30/2013,52.389999,24.73
5/1/2013,52.399996,24.299999
5/2/2013,53.549997,24.969999
5/3/2013,54.209999,25.07
5/6/2013,54.089999,25.17
5/7/2013,53.939999,26.07
5/8/2013,54.959999,26.41
5/9/2013,55.169996,26.24
5/10/2013,55.649997,26.83
5/13/2013,55.329998,26.389999
5/14/2013,56.269996,26.639999
5/15/2013,56.649997,27.34
5/16/2013,55.799997,26.58
5/17/2013,56.709999,26.52
5/20/2013,55.949997,26.58
5/21/2013,54.949997,27
5/22/2013,54.399997,26.540001
5/23/2013,54.479998,26.02
5/24/2013,54.64,26.33
5/28/2013,55.529998,26.07
5/29/2013,55.049997,25.809999
5/30/2013,55.099997,26.33
5/31/2013,54.099997,26.299999
6/3/2013,53.409998,26.389999
6/4/2013,52.589999,26.26
6/5/2013,51.359998,25.75
6/6/2013,51.52,26.209999
6/7/2013,51.450001,27.040001
6/10/2013,53.249996,26.74
6/11/2013,52.049996,26.4
6/12/2013,50.75,25.889999
6/13/2013,51.479997,26.370001
6/14/2013,51.289999,26.280001
6/17/2013,52.07,26.540001
6/18/2013,52.559998,26.66
6/19/2013,52.229997,26.24
6/20/2013,50.739999,25.35
6/21/2013,51.129997,25.190001
6/24/2013,50.819999,24.07
6/25/2013,51.639999,24.959999
